#KO	Name	Definition	Count	Count_pct	Abund	Abund_pct	Abund_DLM2	Abund_pct_DLM2	Abund_GEM2	Abund_pct_GEM2	Abund_LCM1	Abund_pct_LCM1	Abund_PLM2	Abund_pct_PLM2
K07335	bmpA, bmpB, tmpC	"basic membrane protein A and related proteins"	2	0.02	247.41	0.02	4.85	0.00	3.83	0.00	237.95	0.03	0.78	0.00
K06222	dkgB	"2,5-diketo-D-gluconate reductase B [EC:1.1.1.346]"	1	0.01	68.00	0.00	0.00	0.00	0.14	0.00	67.82	0.01	0.03	0.00
K06073	btuC	"vitamin B12 transport system permease protein"	1	0.01	58.58	0.00	0.03	0.00	0.11	0.00	58.38	0.01	0.06	0.00
K04485	radA, sms	"DNA repair protein RadA/Sms"	1	0.01	171.43	0.01	12.03	0.01	40.15	0.02	62.43	0.01	56.82	0.02
K00766	trpD	"anthranilate phosphoribosyltransferase [EC:2.4.2.18]"	11	0.11	801.16	0.05	16.39	0.01	4.98	0.00	776.39	0.08	3.40	0.00
K12567	TTN	"titin [EC:2.7.11.1]"	2	0.02	58.16	0.00	2.37	0.00	0.01	0.00	55.74	0.01	0.05	0.00
K03021	RPC2, POLR3B	"DNA-directed RNA polymerase III subunit RPC2 [EC:2.7.7.6]"	1	0.01	72.80	0.00	0.00	0.00	0.01	0.00	72.76	0.01	0.02	0.00
K13019	wbpI, wlbD	"UDP-GlcNAc3NAcA epimerase [EC:5.1.3.23]"	1	0.01	37.25	0.00	0.78	0.00	0.04	0.00	36.21	0.00	0.22	0.00
K02037	pstC	"phosphate transport system permease protein"	7	0.07	292.47	0.02	0.24	0.00	0.38	0.00	288.48	0.03	3.37	0.00
K22757	QCT, qpcT	"glutaminyl-peptide cyclotransferase [EC:2.3.2.5]"	1	0.01	76.88	0.00	20.85	0.02	18.93	0.01	19.94	0.00	17.16	0.01
K02527	kdtA, waaA	"3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]"	1	0.01	25.63	0.00	0.02	0.00	3.34	0.00	21.51	0.00	0.75	0.00
K03830	yafP	"putative acetyltransferase [EC:2.3.1.-]"	3	0.03	185.58	0.01	2.37	0.00	0.04	0.00	183.08	0.02	0.08	0.00
K02824	pyrP, uraA	"uracil permease"	2	0.02	55.58	0.00	0.00	0.00	0.00	0.00	55.57	0.01	0.01	0.00
K04517	tyrA2	"prephenate dehydrogenase [EC:1.3.1.12]"	11	0.11	539.77	0.03	29.28	0.02	47.51	0.02	448.46	0.05	14.52	0.00
K06204	dksA	"DnaK suppressor protein"	4	0.04	334.67	0.02	0.24	0.00	16.96	0.01	314.79	0.03	2.68	0.00
K02926	RP-L4, MRPL4, rplD	"large subunit ribosomal protein L4"	1	0.01	1814.06	0.12	325.55	0.25	585.16	0.27	14.02	0.00	889.33	0.29
K10021	occP, nocP	"octopine/nopaline transport system ATP-binding protein [EC:7.4.2.1]"	8	0.08	241.65	0.02	2.46	0.00	7.32	0.00	230.01	0.03	1.87	0.00
K00858	ppnK, NADK	"NAD+ kinase [EC:2.7.1.23]"	11	0.11	499.81	0.03	15.24	0.01	7.85	0.00	474.85	0.05	1.87	0.00
K00606	panB	"3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]"	1	0.01	37.23	0.00	0.91	0.00	0.06	0.00	36.09	0.00	0.18	0.00
K07305	msrB	"peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]"	12	0.12	2543.29	0.16	308.99	0.24	611.58	0.28	719.58	0.08	903.13	0.30
K00975	glgC	"glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]"	13	0.13	711.50	0.05	7.87	0.01	41.05	0.02	654.97	0.07	7.61	0.00
K01176	AMY, amyA, malS	"alpha-amylase [EC:3.2.1.1]"	13	0.13	555.73	0.04	9.33	0.01	36.85	0.02	502.52	0.05	7.03	0.00
K03600	sspB	"stringent starvation protein B"	1	0.01	13.15	0.00	0.26	0.00	0.00	0.00	12.83	0.00	0.06	0.00
K02242	comFC	"competence protein ComFC"	1	0.01	49.69	0.00	2.47	0.00	0.00	0.00	47.19	0.01	0.04	0.00
K13677	dgs, bgsA	"1,2-diacylglycerol-3-alpha-glucose alpha-1,2-glucosyltransferase [EC:2.4.1.208]"	18	0.17	2891.39	0.18	344.84	0.27	589.95	0.27	1064.74	0.12	891.85	0.29
K02066	mlaE, linK	"phospholipid/cholesterol/gamma-HCH transport system permease protein"	3	0.03	276.79	0.02	0.01	0.00	0.48	0.00	274.48	0.03	1.82	0.00
K04421	MAP3K3, MEKK3	"mitogen-activated protein kinase kinase kinase 3 [EC:2.7.11.25]"	14	0.13	809.01	0.05	3.04	0.00	1.48	0.00	803.41	0.09	1.08	0.00
K02257	COX10, ctaB, cyoE	"heme o synthase [EC:2.5.1.141]"	5	0.05	327.85	0.02	9.96	0.01	1.99	0.00	309.67	0.03	6.23	0.00
K15738	uup	"ABC transport system ATP-binding/permease protein"	6	0.06	384.67	0.02	11.07	0.01	2.85	0.00	366.07	0.04	4.68	0.00
K03584	recO	"DNA repair protein RecO (recombination protein O)"	2	0.02	80.81	0.01	0.16	0.00	0.18	0.00	80.32	0.01	0.16	0.00
K16006	pikC, CYP107L	"pikromycin synthase [EC:1.14.15.33]"	1	0.01	209.74	0.01	0.01	0.00	0.50	0.00	208.87	0.02	0.36	0.00
K03552	hjr	"holliday junction resolvase Hjr [EC:3.1.22.4]"	1	0.01	16.61	0.00	0.00	0.00	0.00	0.00	16.61	0.00	0.00	0.00
K07666	qseB	"two-component system, OmpR family, response regulator QseB"	2	0.02	1753.60	0.11	298.41	0.23	563.99	0.26	38.11	0.00	853.09	0.28
K14253	oxyE	"6-methylpretetramide 4-monooxygenase [EC:1.14.13.232]"	1	0.01	69.50	0.00	0.00	0.00	0.02	0.00	69.46	0.01	0.02	0.00
K03559	exbD	"biopolymer transport protein ExbD"	1	0.01	13.13	0.00	0.00	0.00	0.02	0.00	11.70	0.00	1.41	0.00
K09690	ABC-2.LPSE.P	"lipopolysaccharide transport system permease protein"	1	0.01	72.73	0.00	0.00	0.00	0.02	0.00	72.68	0.01	0.03	0.00
K07708	glnL, ntrB	"two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL [EC:2.7.13.3]"	170	1.63	23589.30	1.51	2299.14	1.79	4265.75	1.98	10782.34	1.17	6242.07	2.06
K02476	K02476	"two-component system, CitB family, sensor kinase [EC:2.7.13.3]"	22	0.21	3018.59	0.19	343.73	0.27	596.69	0.28	1211.06	0.13	867.11	0.29
K01926	rex	"redox-sensing transcriptional repressor"	1	0.01	13.13	0.00	0.00	0.00	0.02	0.00	11.70	0.00	1.41	0.00
K06201	cutC	"copper homeostasis protein"	2	0.02	59.24	0.00	2.26	0.00	0.00	0.00	56.94	0.01	0.04	0.00
K02012	afuA, fbpA	"iron(III) transport system substrate-binding protein"	5	0.05	383.15	0.02	3.63	0.00	17.20	0.01	359.32	0.04	3.00	0.00
K01479	hutG	"formiminoglutamase [EC:3.5.3.8]"	1	0.01	27.05	0.00	0.01	0.00	3.50	0.00	22.65	0.00	0.88	0.00
K00459	ncd2, npd	"nitronate monooxygenase [EC:1.13.12.16]"	1	0.01	40.73	0.00	2.37	0.00	0.00	0.00	38.32	0.00	0.04	0.00
K13770	ysiA, fadR	"TetR/AcrR family transcriptional regulator, fatty acid metabolism regulator protein"	1	0.01	105.89	0.01	7.76	0.01	0.08	0.00	97.75	0.01	0.29	0.00
K13414	MEKK1	"mitogen-activated protein kinase kinase kinase 1 [EC:2.7.11.25]"	14	0.13	809.01	0.05	3.04	0.00	1.48	0.00	803.41	0.09	1.08	0.00
K08790	STK38, NDR	"serine/threonine kinase 38 [EC:2.7.11.1]"	18	0.17	1039.84	0.07	3.27	0.00	1.56	0.00	1033.75	0.11	1.25	0.00
K00966	GMPP	"mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]"	25	0.24	2058.34	0.13	9.60	0.01	45.32	0.02	1990.59	0.22	12.84	0.00
K01581	E4.1.1.17, ODC1, speC, speF	"ornithine decarboxylase [EC:4.1.1.17]"	5	0.05	193.93	0.01	10.98	0.01	3.59	0.00	178.12	0.02	1.24	0.00
K15633	gpmI	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"	2	0.02	262.21	0.02	0.00	0.00	0.55	0.00	261.31	0.03	0.35	0.00
K07282	capA, pgsA	"gamma-polyglutamate biosynthesis protein CapA"	1	0.01	25.40	0.00	0.12	0.00	0.10	0.00	25.07	0.00	0.11	0.00
K00869	E2.7.1.36, MVK, mvaK1	"mevalonate kinase [EC:2.7.1.36]"	1	0.01	49.69	0.00	2.47	0.00	0.00	0.00	47.19	0.01	0.04	0.00
K13953	adhP	"alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]"	14	0.13	1004.33	0.06	10.11	0.01	10.37	0.00	979.82	0.11	4.03	0.00
K03417	prpB	"methylisocitrate lyase [EC:4.1.3.30]"	1	0.01	60.25	0.00	0.00	0.00	0.13	0.00	60.08	0.01	0.04	0.00
K04478	sgtB	"monofunctional glycosyltransferase [EC:2.4.1.129]"	7	0.07	392.07	0.03	2.65	0.00	4.33	0.00	383.79	0.04	1.30	0.00
K01687	ilvD	"dihydroxy-acid dehydratase [EC:4.2.1.9]"	4	0.04	407.02	0.03	0.39	0.00	4.69	0.00	400.33	0.04	1.61	0.00
K05823	dapL	"N-acetyldiaminopimelate deacetylase [EC:3.5.1.47]"	1	0.01	78.70	0.01	7.86	0.01	0.06	0.00	70.54	0.01	0.25	0.00
K13532	kinD	"two-component system, sporulation sensor kinase D [EC:2.7.13.3]"	71	0.68	8386.38	0.54	697.78	0.54	1214.33	0.56	4696.98	0.51	1777.29	0.59
K03547	sbcD, mre11	"DNA repair protein SbcD/Mre11"	3	0.03	2057.59	0.13	327.92	0.26	585.60	0.27	254.38	0.03	889.69	0.29
K16150	K16150	"glycogen synthase [EC:2.4.1.11]"	1	0.01	92.16	0.01	0.32	0.00	0.58	0.00	90.77	0.01	0.49	0.00
K01740	metY	"O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]"	6	0.06	350.26	0.02	0.34	0.00	0.90	0.00	348.26	0.04	0.76	0.00
K02028	ABC.PA.A	"polar amino acid transport system ATP-binding protein [EC:7.4.2.1]"	21	0.20	1186.22	0.08	18.87	0.01	26.94	0.01	1131.75	0.12	8.67	0.00
K15037	K15037	"biotin carboxyl carrier protein"	4	0.04	348.78	0.02	4.74	0.00	0.60	0.00	343.00	0.04	0.44	0.00
K00331	nuoB	"NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]"	3	0.03	293.88	0.02	0.92	0.00	0.81	0.00	290.59	0.03	1.56	0.00
K00242	sdhD, frdD	"succinate dehydrogenase / fumarate reductase, membrane anchor subunit"	2	0.02	247.68	0.02	0.14	0.00	4.17	0.00	241.87	0.03	1.50	0.00
K13756	PDE6B	"rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit beta [EC:3.1.4.35]"	2	0.02	26.89	0.00	0.27	0.00	0.04	0.00	25.02	0.00	1.56	0.00
K11731	atuD	"citronellyl-CoA dehydrogenase [EC:1.3.99.-]"	26	0.25	1172.71	0.07	2.63	0.00	36.31	0.02	1122.92	0.12	10.85	0.00
K00902	DOLK	"dolichol kinase [EC:2.7.1.108]"	3	0.03	148.03	0.01	10.26	0.01	3.99	0.00	132.61	0.01	1.17	0.00
K11080	attA1	"mannopine transport system ATP-binding protein"	6	0.06	377.15	0.02	7.97	0.01	33.69	0.02	330.00	0.04	5.49	0.00
K08348	fdnG	"formate dehydrogenase-N, alpha subunit [EC:1.17.5.3]"	7	0.07	933.26	0.06	0.95	0.00	2.33	0.00	926.99	0.10	2.98	0.00
K07184	ygiM	"SH3 domain protein"	1	0.01	21.24	0.00	0.00	0.00	0.00	0.00	21.23	0.00	0.00	0.00
K11383	kinB	"two-component system, NtrC family, sensor histidine kinase KinB [EC:2.7.13.3]"	158	1.52	22256.21	1.42	2299.66	1.79	4164.32	1.94	9598.33	1.05	6193.90	2.04
K16703	wcaL, amsK	"colanic acid/amylovoran biosynthesis glycosyltransferase [EC:2.4.-.-]"	1	0.01	30.93	0.00	0.03	0.00	3.52	0.00	26.54	0.00	0.84	0.00
K03327	TC.MATE, SLC47A, norM, mdtK, dinF	"multidrug resistance protein, MATE family"	7	0.07	2199.16	0.14	335.85	0.26	594.15	0.28	374.98	0.04	894.17	0.29
K12339	cysM	"S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent) [EC:2.5.1.144]"	15	0.14	697.24	0.04	12.02	0.01	4.73	0.00	673.63	0.07	6.86	0.00
K14153	thiDE	"hydroxymethylpyrimidine kinase / phosphomethylpyrimidine kinase / thiamine-phosphate diphosphorylase [EC:2.7.1.49 2.7.4.7 2.5.1.3]"	1	0.01	195.59	0.01	0.01	0.00	0.42	0.00	194.83	0.02	0.33	0.00
K13937	H6PD	"hexose-6-phosphate dehydrogenase [EC:1.1.1.47 3.1.1.31]"	2	0.02	1796.57	0.11	283.16	0.22	587.11	0.27	28.03	0.00	898.26	0.30
K03043	rpoB	"DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]"	3	0.03	218.40	0.01	0.01	0.00	0.04	0.00	218.28	0.02	0.07	0.00
K06878	K06878	"tRNA-binding protein"	4	0.04	164.38	0.01	9.85	0.01	3.63	0.00	149.73	0.02	1.17	0.00
K01520	dut, DUT	"dUTP pyrophosphatase [EC:3.6.1.23]"	4	0.04	149.56	0.01	0.03	0.00	3.55	0.00	145.10	0.02	0.89	0.00
K00226	pyrD	"dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]"	27	0.26	4112.69	0.26	355.05	0.28	624.83	0.29	2225.81	0.24	907.00	0.30
K09823	zur	"Fur family transcriptional regulator, zinc uptake regulator"	1	0.01	28.60	0.00	0.03	0.00	3.93	0.00	23.76	0.00	0.88	0.00
K15765	tmoF, tbuC, touF	"toluene monooxygenase electron transfer component [EC:1.18.1.3]"	1	0.01	215.66	0.01	0.02	0.00	0.52	0.00	214.71	0.02	0.41	0.00
K12944	nudI	"nucleoside triphosphatase [EC:3.6.1.-]"	2	0.02	2035.20	0.13	325.55	0.25	585.64	0.27	234.30	0.03	889.70	0.29
K00797	speE, SRM	"spermidine synthase [EC:2.5.1.16]"	1	0.01	68.00	0.00	0.00	0.00	0.14	0.00	67.82	0.01	0.03	0.00
K00033	PGD, gnd, gntZ	"6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]"	1	0.01	89.86	0.01	0.35	0.00	0.52	0.00	88.59	0.01	0.41	0.00
K00246	frdC	"fumarate reductase subunit C"	11	0.11	755.34	0.05	7.27	0.01	37.81	0.02	700.92	0.08	9.34	0.00
K05515	mrdA	"penicillin-binding protein 2 [EC:3.4.16.4]"	1	0.01	190.91	0.01	0.01	0.00	0.44	0.00	190.05	0.02	0.40	0.00
K08177	oxlT	"MFS transporter, OFA family, oxalate/formate antiporter"	9	0.09	489.93	0.03	12.70	0.01	3.00	0.00	468.81	0.05	5.42	0.00
K00428	E1.11.1.5	"cytochrome c peroxidase [EC:1.11.1.5]"	17	0.16	1488.64	0.10	12.93	0.01	7.73	0.00	1460.28	0.16	7.70	0.00
K00703	glgA	"starch synthase [EC:2.4.1.21]"	16	0.15	2703.98	0.17	337.40	0.26	626.12	0.29	843.75	0.09	896.71	0.30
K22292	mupP	"N-acetyl-D-muramate 6-phosphate phosphatase [EC:3.1.3.105]"	1	0.01	59.41	0.00	0.00	0.00	0.12	0.00	59.27	0.01	0.02	0.00
K08042	ADCY2	"adenylate cyclase 2 [EC:4.6.1.1]"	2	0.02	1796.57	0.11	283.16	0.22	587.11	0.27	28.03	0.00	898.26	0.30
K02982	RP-S3, rpsC	"small subunit ribosomal protein S3"	1	0.01	1814.06	0.12	325.55	0.25	585.16	0.27	14.02	0.00	889.33	0.29
K13963	SERPINB	"serpin B"	2	0.02	134.63	0.01	0.00	0.00	0.19	0.00	134.40	0.01	0.05	0.00
K07773	arcA	"two-component system, OmpR family, aerobic respiration control protein ArcA"	1	0.01	13.15	0.00	0.26	0.00	0.00	0.00	12.83	0.00	0.06	0.00
K00099	dxr	"1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]"	3	0.03	134.51	0.01	17.66	0.01	5.06	0.00	108.00	0.01	3.78	0.00
K01990	ABC-2.A	"ABC-2 type transport system ATP-binding protein"	85	0.82	10694.65	0.68	1060.69	0.83	1821.74	0.85	5161.67	0.56	2650.55	0.87
K10805	tesB	"acyl-CoA thioesterase II [EC:3.1.2.-]"	2	0.02	75.22	0.00	0.23	0.00	0.16	0.00	74.69	0.01	0.15	0.00
K14611	SLC23A1, SVCT1	"solute carrier family 23 (nucleobase transporter), member 1"	1	0.01	92.16	0.01	0.32	0.00	0.58	0.00	90.77	0.01	0.49	0.00
K02503	HINT1, hinT, hit	"histidine triad (HIT) family protein"	3	0.03	113.27	0.01	2.37	0.00	0.14	0.00	109.29	0.01	1.48	0.00
K00131	gapN	"glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]"	2	0.02	411.25	0.03	0.03	0.00	0.95	0.00	409.54	0.04	0.74	0.00
K09015	sufD	"Fe-S cluster assembly protein SufD"	3	0.03	230.04	0.01	0.01	0.00	0.44	0.00	229.17	0.02	0.41	0.00
K00338	nuoI	"NADH-quinone oxidoreductase subunit I [EC:7.1.1.2]"	12	0.12	1284.53	0.08	11.01	0.01	3.78	0.00	1263.29	0.14	6.45	0.00
K14028	mdh1, mxaF	"methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]"	6	0.06	797.44	0.05	10.30	0.01	3.61	0.00	778.92	0.08	4.62	0.00
K00140	mmsA, iolA, ALDH6A1	"malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]"	1	0.01	202.80	0.01	0.00	0.00	0.43	0.00	202.04	0.02	0.33	0.00
K10117	msmE	"raffinose/stachyose/melibiose transport system substrate-binding protein"	1	0.01	92.16	0.01	0.32	0.00	0.58	0.00	90.77	0.01	0.49	0.00
K13767	fadB	"enoyl-CoA hydratase [EC:4.2.1.17]"	30	0.29	3435.14	0.22	335.48	0.26	624.31	0.29	1573.23	0.17	902.13	0.30
K02428	rdgB	"XTP/dITP diphosphohydrolase [EC:3.6.1.66]"	4	0.04	169.39	0.01	0.94	0.00	3.74	0.00	163.67	0.02	1.05	0.00
K00924	E2.7.1.-	"kinase [EC:2.7.1.-]"	16	0.15	825.37	0.05	3.29	0.00	1.84	0.00	817.73	0.09	2.51	0.00
K00125	fdhB	"formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]"	22	0.21	1811.08	0.12	17.22	0.01	40.65	0.02	1738.48	0.19	14.73	0.00
K04014	nrfC	"protein NrfC"	19	0.18	3893.01	0.25	336.54	0.26	590.75	0.27	2068.38	0.23	897.33	0.30
K02469	gyrA	"DNA gyrase subunit A [EC:5.6.2.2]"	5	0.05	271.38	0.02	7.59	0.01	0.68	0.00	260.83	0.03	2.28	0.00
K07304	msrA	"peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]"	11	0.11	2338.66	0.15	308.98	0.24	610.94	0.28	516.25	0.06	902.48	0.30
K07124	K07124	"uncharacterized protein"	2	0.02	127.32	0.01	10.49	0.01	0.06	0.00	116.49	0.01	0.28	0.00
K05584	ndhM	"NAD(P)H-quinone oxidoreductase subunit M [EC:7.1.1.2]"	1	0.01	72.05	0.00	0.00	0.00	0.03	0.00	72.00	0.01	0.02	0.00
K05343	treS	"maltose alpha-D-glucosyltransferase / alpha-amylase [EC:5.4.99.16 3.2.1.1]"	3	0.03	141.37	0.01	1.31	0.00	0.17	0.00	139.49	0.02	0.40	0.00
K07767	KATNA1	"katanin p60 ATPase-containing subunit A1 [EC:5.6.1.1]"	6	0.06	2012.51	0.13	329.60	0.26	585.40	0.27	207.71	0.02	889.79	0.29
K21573	susC	"TonB-dependent starch-binding outer membrane protein SusC"	4	0.04	129.57	0.01	21.32	0.02	2.42	0.00	100.01	0.01	5.81	0.00
K03777	dld	"D-lactate dehydrogenase (quinone) [EC:1.1.5.12]"	5	0.05	424.42	0.03	0.64	0.00	17.83	0.01	401.12	0.04	4.83	0.00
K13178	DDX17	"ATP-dependent RNA helicase DDX17 [EC:3.6.4.13]"	5	0.05	370.42	0.02	7.87	0.01	0.60	0.00	359.85	0.04	2.11	0.00
K00943	tmk, DTYMK	"dTMP kinase [EC:2.7.4.9]"	7	0.07	428.55	0.03	21.23	0.02	35.97	0.02	349.98	0.04	21.37	0.01
K07491	K07491	"putative transposase"	1	0.01	11.21	0.00	2.05	0.00	0.07	0.00	8.55	0.00	0.53	0.00
K14977	ylbA, UGHY	"(S)-ureidoglycine aminohydrolase [EC:3.5.3.26]"	1	0.01	23.90	0.00	0.00	0.00	0.00	0.00	23.89	0.00	0.00	0.00
K08226	pucC	"MFS transporter, BCD family, chlorophyll transporter"	1	0.01	25.00	0.00	0.05	0.00	3.18	0.00	21.08	0.00	0.69	0.00
K02394	flgI	"flagellar P-ring protein precursor FlgI"	2	0.02	52.97	0.00	0.03	0.00	3.61	0.00	48.58	0.01	0.76	0.00
K21417	acoB	"acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta [EC:1.1.1.-]"	1	0.01	195.59	0.01	0.01	0.00	0.42	0.00	194.83	0.02	0.33	0.00
K09994	phnO	"(aminoalkyl)phosphonate N-acetyltransferase [EC:2.3.1.280]"	1	0.01	40.73	0.00	2.37	0.00	0.00	0.00	38.32	0.00	0.04	0.00
K02167	betI	"TetR/AcrR family transcriptional regulator, transcriptional repressor of bet genes"	1	0.01	191.30	0.01	0.01	0.00	0.40	0.00	190.55	0.02	0.34	0.00
K02119	ATPVC, ntpC, atpC	"V/A-type H+/Na+-transporting ATPase subunit C"	1	0.01	40.73	0.00	2.37	0.00	0.00	0.00	38.32	0.00	0.04	0.00
K02667	pilR, pehR	"two-component system, NtrC family, response regulator PilR"	1	0.01	61.15	0.00	0.00	0.00	0.15	0.00	60.99	0.01	0.01	0.00
K06997	yggS, PROSC	"PLP dependent protein"	2	0.02	258.37	0.02	0.91	0.00	0.53	0.00	256.37	0.03	0.55	0.00
K07509	HADHB	"acetyl-CoA acyltransferase [EC:2.3.1.16]"	16	0.15	613.49	0.04	3.16	0.00	31.24	0.01	570.05	0.06	9.05	0.00
K12525	metL	"bifunctional aspartokinase / homoserine dehydrogenase 2 [EC:2.7.2.4 1.1.1.3]"	8	0.08	613.29	0.04	36.22	0.03	2.82	0.00	568.68	0.06	5.57	0.00
K00255	ACADL	"long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8]"	1	0.01	27.05	0.00	0.01	0.00	3.50	0.00	22.65	0.00	0.88	0.00
K07493	K07493	"putative transposase"	1	0.01	23.30	0.00	0.10	0.00	0.07	0.00	23.05	0.00	0.08	0.00
K06173	truA, PUS1	"tRNA pseudouridine38-40 synthase [EC:5.4.99.12]"	4	0.04	1928.38	0.12	326.49	0.25	585.30	0.27	127.02	0.01	889.57	0.29
K02039	phoU	"phosphate transport system protein"	2	0.02	55.63	0.00	0.24	0.00	16.40	0.01	35.15	0.00	3.84	0.00
K13643	iscR	"Rrf2 family transcriptional regulator, iron-sulfur cluster assembly transcription factor"	2	0.02	217.33	0.01	0.13	0.00	0.56	0.00	216.19	0.02	0.46	0.00
K07771	basR	"two-component system, OmpR family, response regulator BasR"	1	0.01	27.20	0.00	9.77	0.01	1.08	0.00	13.70	0.00	2.65	0.00
K02825	pyrR	"pyrimidine operon attenuation protein / uracil phosphoribosyltransferase [EC:2.4.2.9]"	3	0.03	105.18	0.01	12.91	0.01	1.12	0.00	88.23	0.01	2.91	0.00
K00995	pgsA, PGS1	"CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]"	2	0.02	119.43	0.01	10.23	0.01	0.06	0.00	108.85	0.01	0.29	0.00
K11936	pgaC, icaA	"poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]"	1	0.01	42.19	0.00	2.26	0.00	0.00	0.00	39.89	0.00	0.03	0.00
K09764	K09764	"uncharacterized protein"	1	0.01	78.70	0.01	7.86	0.01	0.06	0.00	70.54	0.01	0.25	0.00
K07788	mdtB	"multidrug efflux pump"	2	0.02	95.82	0.01	0.80	0.00	0.15	0.00	94.60	0.01	0.27	0.00
K12524	thrA	"bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3]"	18	0.17	1016.37	0.06	64.54	0.05	16.11	0.01	923.47	0.10	12.25	0.00
K06021		""	9	0.09	366.41	0.02	2.62	0.00	0.32	0.00	361.62	0.04	1.85	0.00
K14509	ETR, ERS	"ethylene receptor [EC:2.7.13.-]"	76	0.73	8240.97	0.53	706.69	0.55	1217.43	0.57	4539.42	0.49	1777.43	0.59
K10771	APEX1	"AP endonuclease 1 [EC:4.2.99.18]"	1	0.01	221.14	0.01	0.01	0.00	0.48	0.00	220.28	0.02	0.38	0.00
K13484	TTHL	"5-hydroxyisourate hydrolase / 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:3.5.2.17 4.1.1.97]"	1	0.01	23.90	0.00	0.00	0.00	0.00	0.00	23.89	0.00	0.00	0.00
K18828	mvpA, vapC	"tRNA(fMet)-specific endonuclease VapC [EC:3.1.-.-]"	1	0.01	27.20	0.00	9.77	0.01	1.08	0.00	13.70	0.00	2.65	0.00
K09813	hrtB	"hemin transport system permease protein"	1	0.01	40.73	0.00	2.37	0.00	0.00	0.00	38.32	0.00	0.04	0.00
K02057	ABC.SS.P	"simple sugar transport system permease protein"	14	0.13	4695.15	0.30	608.54	0.47	1171.34	0.54	1200.86	0.13	1714.41	0.56
K00340	nuoK	"NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]"	3	0.03	293.88	0.02	0.92	0.00	0.81	0.00	290.59	0.03	1.56	0.00
K16018	rifN, asm22	"kanosamine 6-kinase [EC:2.7.1.179]"	1	0.01	86.60	0.01	8.13	0.01	0.05	0.00	78.17	0.01	0.24	0.00
K01904	4CL	"4-coumarate--CoA ligase [EC:6.2.1.12]"	30	0.29	2394.27	0.15	23.20	0.02	150.15	0.07	2163.70	0.24	57.23	0.02
K03701	uvrA	"excinuclease ABC subunit A"	3	0.03	118.78	0.01	2.52	0.00	0.32	0.00	114.50	0.01	1.44	0.00
K00481	pobA	"p-hydroxybenzoate 3-monooxygenase [EC:1.14.13.2]"	1	0.01	25.63	0.00	0.02	0.00	3.34	0.00	21.51	0.00	0.75	0.00
K00812	aspB	"aspartate aminotransferase [EC:2.6.1.1]"	6	0.06	404.96	0.03	7.52	0.01	20.63	0.01	372.24	0.04	4.58	0.00
K02594	nifV	"homocitrate synthase NifV [EC:2.3.3.14]"	1	0.01	25.47	0.00	0.12	0.00	0.14	0.00	25.10	0.00	0.12	0.00
K12251	aguB	"N-carbamoylputrescine amidase [EC:3.5.1.53]"	2	0.02	127.35	0.01	0.04	0.00	0.14	0.00	127.06	0.01	0.10	0.00
K13829	aroKB	"shikimate kinase / 3-dehydroquinate synthase [EC:2.7.1.71 4.2.3.4]"	2	0.02	392.90	0.03	0.01	0.00	0.80	0.00	391.39	0.04	0.70	0.00
K11070	potC	"spermidine/putrescine transport system permease protein"	1	0.01	42.14	0.00	0.24	0.00	16.39	0.01	23.21	0.00	2.31	0.00
K10041	peb1C, glnQ	"aspartate/glutamate/glutamine transport system ATP-binding protein [EC:7.4.2.1]"	5	0.05	129.49	0.01	2.39	0.00	0.10	0.00	126.85	0.01	0.14	0.00
